/* start code_ref=people_plugin_output_2|code_cap=An excerpt of the vaccination report.*/
scenario	seed_index	seed_value	day	count_0	count_1	count_2	count_3	count_4	count_5	count_6+
0	0	1126862960420803077L	0	10	0	0	0	0	0	0
0	0	1126862960420803077L	1	7	2	0	0	0	0	0
0	0	1126862960420803077L	2	4	5	2	0	0	0	0
0	0	1126862960420803077L	3	2	3	8	0	0	0	0
0	0	1126862960420803077L	4	1	2	10	0	1	0	0
0	0	1126862960420803077L	5	2	3	6	3	3	0	0
0	0	1126862960420803077L	6	1	5	5	3	2	2	0
0	0	1126862960420803077L	7	0	7	4	4	2	3	0
0	0	1126862960420803077L	8	0	7	6	5	2	2	1
...
0	0	1126862960420803077L	52	6	13	13	7	10	9	22
0	0	1126862960420803077L	53	7	13	15	7	10	9	22
0	0	1126862960420803077L	54	7	13	16	7	10	9	22
1	1	-4486033808643580070L	0	10	0	0	0	0	0	0
1	1	-4486033808643580070L	1	9	3	0	0	0	0	0
1	1	-4486033808643580070L	2	5	6	2	0	0	0	0
1	1	-4486033808643580070L	3	5	8	4	1	0	0	0
1	1	-4486033808643580070L	4	5	6	5	3	1	0	0
1	1	-4486033808643580070L	5	4	6	6	2	3	0	0
1	1	-4486033808643580070L	6	2	6	7	3	4	0	0
1	1	-4486033808643580070L	7	2	4	11	4	4	0	0
...
3	3	-821383327301461075L	42	5	13	15	9	8	10	15
3	3	-821383327301461075L	43	5	13	15	9	8	11	15
3	3	-821383327301461075L	44	6	12	15	10	8	9	17
3	3	-821383327301461075L	45	6	13	15	9	8	7	19
3	3	-821383327301461075L	46	6	13	15	8	8	7	20
3	3	-821383327301461075L	47	6	14	17	5	11	6	21
3	3	-821383327301461075L	48	5	14	17	6	10	5	22
3	3	-821383327301461075L	49	5	13	18	7	9	6	22
...
4	4	2435395143614485495L	42	11	12	11	10	12	7	19
4	4	2435395143614485495L	43	9	13	12	9	11	8	20
4	4	2435395143614485495L	44	7	14	11	10	10	8	21
4	4	2435395143614485495L	45	7	16	10	11	9	7	23
4	4	2435395143614485495L	46	7	16	13	10	11	6	24
4	4	2435395143614485495L	47	8	14	15	10	11	7	24
4	4	2435395143614485495L	48	9	13	15	11	11	7	24
4	4	2435395143614485495L	49	9	13	15	12	11	7	24
4	4	2435395143614485495L	50	12	13	15	12	11	7	24
/* end */
