/* start code_ref=stochastics_plugin_11_B_output|code_cap=The output show that twelve scearnios result in 36 output lines since the model actor update R0 three times per scenario.*/
 scenario	school_closing_infection_rate	seed_index	seed_value	output
 3	0.2	0	1768604912325913878L	setting R0 to 1.4595120508977955 at time = 5.672294645832067
 2	0.15	0	1768604912325913878L	setting R0 to 1.4595120508977955 at time = 5.672294645832067
 3	0.2	0	1768604912325913878L	setting R0 to 1.672857576347001 at time = 9.396161237311702
 1	0.1	0	1768604912325913878L	setting R0 to 1.4595120508977955 at time = 5.672294645832067
 0	0.05	0	1768604912325913878L	setting R0 to 1.4595120508977955 at time = 5.672294645832067
 3	0.2	0	1768604912325913878L	setting R0 to 1.4552243930124602 at time = 9.545450999459224
 1	0.1	0	1768604912325913878L	setting R0 to 1.672857576347001 at time = 9.396161237311702
 2	0.15	0	1768604912325913878L	setting R0 to 1.672857576347001 at time = 9.396161237311702
 0	0.05	0	1768604912325913878L	setting R0 to 1.672857576347001 at time = 9.396161237311702
 1	0.1	0	1768604912325913878L	setting R0 to 1.4552243930124602 at time = 9.545450999459224
 2	0.15	0	1768604912325913878L	setting R0 to 1.4552243930124602 at time = 9.545450999459224
 0	0.05	0	1768604912325913878L	setting R0 to 1.4552243930124602 at time = 9.545450999459224
 4	0.05	1	2407662077113051075L	setting R0 to 1.7124977513361193 at time = 1.878219018807409
 4	0.05	1	2407662077113051075L	setting R0 to 1.4297609713254456 at time = 2.4215934269433106
 4	0.05	1	2407662077113051075L	setting R0 to 1.5167619787625548 at time = 5.992476899450338
 5	0.1	1	2407662077113051075L	setting R0 to 1.7124977513361193 at time = 1.878219018807409
 5	0.1	1	2407662077113051075L	setting R0 to 1.4297609713254456 at time = 2.4215934269433106
 5	0.1	1	2407662077113051075L	setting R0 to 1.5167619787625548 at time = 5.992476899450338
 6	0.15	1	2407662077113051075L	setting R0 to 1.7124977513361193 at time = 1.878219018807409
 6	0.15	1	2407662077113051075L	setting R0 to 1.4297609713254456 at time = 2.4215934269433106
 6	0.15	1	2407662077113051075L	setting R0 to 1.5167619787625548 at time = 5.992476899450338
 7	0.2	1	2407662077113051075L	setting R0 to 1.7124977513361193 at time = 1.878219018807409
 7	0.2	1	2407662077113051075L	setting R0 to 1.4297609713254456 at time = 2.4215934269433106
 7	0.2	1	2407662077113051075L	setting R0 to 1.5167619787625548 at time = 5.992476899450338
 9	0.1	2	-2698580492431892402L	setting R0 to 1.9665140789775497 at time = 4.990978097055602
 9	0.1	2	-2698580492431892402L	setting R0 to 1.9525439902956225 at time = 6.227836574620975
 9	0.1	2	-2698580492431892402L	setting R0 to 1.8972135699711736 at time = 7.764180353240558
 8	0.05	2	-2698580492431892402L	setting R0 to 1.9665140789775497 at time = 4.990978097055602
 8	0.05	2	-2698580492431892402L	setting R0 to 1.9525439902956225 at time = 6.227836574620975
 8	0.05	2	-2698580492431892402L	setting R0 to 1.8972135699711736 at time = 7.764180353240558
 10	0.15	2	-2698580492431892402L	setting R0 to 1.9665140789775497 at time = 4.990978097055602
 10	0.15	2	-2698580492431892402L	setting R0 to 1.9525439902956225 at time = 6.227836574620975
 10	0.15	2	-2698580492431892402L	setting R0 to 1.8972135699711736 at time = 7.764180353240558
 11	0.2	2	-2698580492431892402L	setting R0 to 1.9665140789775497 at time = 4.990978097055602
 11	0.2	2	-2698580492431892402L	setting R0 to 1.9525439902956225 at time = 6.227836574620975
 11	0.2	2	-2698580492431892402L	setting R0 to 1.8972135699711736 at time = 7.764180353240558	
/* end */
