/* start code_ref=people_plugin_output_1|code_cap=An excerpt of the population trace report.*/
scenario	seed_index	seed_value	time	personId	action
0	0	1126862960420803077L	0.0	1	ADDITION
0	0	1126862960420803077L	0.0	3	ADDITION
0	0	1126862960420803077L	0.0	5	ADDITION
0	0	1126862960420803077L	0.0	7	ADDITION
0	0	1126862960420803077L	0.0	9	ADDITION
0	0	1126862960420803077L	0.0	11	ADDITION
0	0	1126862960420803077L	0.0	13	ADDITION
0	0	1126862960420803077L	0.0	15	ADDITION
0	0	1126862960420803077L	0.0	17	ADDITION
0	0	1126862960420803077L	0.0	19	ADDITION
0	0	1126862960420803077L	0.8335755305728809	19	REMOVAL
0	0	1126862960420803077L	1.2826070218004488	20	ADDITION
0	0	1126862960420803077L	1.6263298581013381	21	ADDITION
...
1	1	-4486033808643580070L	0.0	17	ADDITION
1	1	-4486033808643580070L	0.0	19	ADDITION
1	1	-4486033808643580070L	0.0667491016080557	20	ADDITION
1	1	-4486033808643580070L	0.9322293185952581	21	ADDITION
1	1	-4486033808643580070L	1.6514182977849594	22	ADDITION
1	1	-4486033808643580070L	2.1177839497510775	23	ADDITION
1	1	-4486033808643580070L	2.262388362711321	24	ADDITION
1	1	-4486033808643580070L	2.4082707578367586	25	ADDITION
1	1	-4486033808643580070L	2.8132397563814484	26	ADDITION
1	1	-4486033808643580070L	2.910386189663668	27	ADDITION
1	1	-4486033808643580070L	3.1314041818648652	28	ADDITION
1	1	-4486033808643580070L	3.978290704435972	29	ADDITION
1	1	-4486033808643580070L	4.8481078195035	30	ADDITION
1	1	-4486033808643580070L	5.775356841709518	31	ADDITION
1	1	-4486033808643580070L	6.071421352969509	32	ADDITION
1	1	-4486033808643580070L	6.449381013881234	33	ADDITION
...
4	4	2435395143614485495L	44.87104815363575	100	ADDITION
4	4	2435395143614485495L	45.05332879157074	101	ADDITION
4	4	2435395143614485495L	45.12891915346638	102	ADDITION
4	4	2435395143614485495L	45.5197380031486	103	ADDITION
4	4	2435395143614485495L	45.83693067456144	104	ADDITION
4	4	2435395143614485495L	46.29575692100794	105	ADDITION
4	4	2435395143614485495L	46.874418645363875	106	ADDITION
4	4	2435395143614485495L	47.347370214427606	107	ADDITION
4	4	2435395143614485495L	48.31664660786532	108	ADDITION
4	4	2435395143614485495L	49.20534099806731	109	ADDITION
4	4	2435395143614485495L	49.252453666282506	110	ADDITION
4	4	2435395143614485495L	49.53782286245757	111	ADDITION
/* end */
