scenario	maximum_symptom_onset_time	susceptible_population_proportion	antiviral_coverage_time	antiviral_success_rate	hospital_success_without_antiviral	hospital_success_with_antiviral	hospital_beds_per_person	antiviral_doses_per_person	hospital_stay_duration_min	hospital_stay_duration_max	region	pop_size	deaths	deaths_in_home	deaths_in_hospital	per_capita_deaths	per_capita_deaths_in_home	per_capita_deaths_in_hospital
0	60.0	0.25	10.0	0.5	0.3	0.5	0.001	0.1	2.0	5.0	Region_0	387	40	30	10	0.10335917312661498	0.07751937984496124	0.025839793281653745
0	60.0	0.25	10.0	0.5	0.3	0.5	0.001	0.1	2.0	5.0	Region_1	823	88	74	14	0.10692588092345079	0.0899149453219927	0.01701093560145808
7	120.0	0.25	15.0	0.5	0.3	0.5	0.001	0.1	2.0	5.0	Region_0	387	27	13	14	0.06976744186046512	0.03359173126614987	0.03617571059431524
7	120.0	0.25	15.0	0.5	0.3	0.5	0.001	0.1	2.0	5.0	Region_1	823	90	66	24	0.10935601458080195	0.08019441069258809	0.02916160388821385
0	60.0	0.25	10.0	0.5	0.3	0.5	0.001	0.1	2.0	5.0	Region_2	2825	561	538	23	0.19858407079646018	0.1904424778761062	0.008141592920353982
1	120.0	0.25	10.0	0.5	0.3	0.5	0.001	0.1	2.0	5.0	Region_0	387	36	16	20	0.09302325581395349	0.041343669250646	0.05167958656330749
1	120.0	0.25	10.0	0.5	0.3	0.5	0.001	0.1	2.0	5.0	Region_1	823	86	67	19	0.10449574726609964	0.08140947752126367	0.023086269744835967
7	120.0	0.25	15.0	0.5	0.3	0.5	0.001	0.1	2.0	5.0	Region_2	2825	555	515	40	0.19646017699115045	0.18230088495575222	0.01415929203539823
1	120.0	0.25	10.0	0.5	0.3	0.5	0.001	0.1	2.0	5.0	Region_2	2825	554	517	37	0.1961061946902655	0.1830088495575221	0.013097345132743363
3	120.0	0.5	10.0	0.5	0.3	0.5	0.001	0.1	2.0	5.0	Region_0	387	70	46	24	0.18087855297157623	0.11886304909560723	0.06201550387596899
3	120.0	0.5	10.0	0.5	0.3	0.5	0.001	0.1	2.0	5.0	Region_1	823	274	242	32	0.33292831105710813	0.29404617253948967	0.038882138517618466
0	60.0	0.25	10.0	0.5	0.3	0.5	0.001	0.1	2.0	5.0	Region_3	2902	623	599	24	0.21467953135768436	0.2064093728463129	0.008270158511371467
7	120.0	0.25	15.0	0.5	0.3	0.5	0.001	0.1	2.0	5.0	Region_3	2902	616	572	44	0.21226740179186768	0.19710544452102	0.015161957270847692
1	120.0	0.25	10.0	0.5	0.3	0.5	0.001	0.1	2.0	5.0	Region_3	2902	605	570	35	0.20847691247415576	0.19641626464507236	0.012060647829083391
3	120.0	0.5	10.0	0.5	0.3	0.5	0.001	0.1	2.0	5.0	Region_2	2825	1295	1254	41	0.4584070796460177	0.4438938053097345	0.014513274336283187
0	60.0	0.25	10.0	0.5	0.3	0.5	0.001	0.1	2.0	5.0	Region_4	3063	693	673	20	0.22624877571008814	0.2197192295135488	0.00652954619653934
3	120.0	0.5	10.0	0.5	0.3	0.5	0.001	0.1	2.0	5.0	Region_3	2902	1333	1288	45	0.45933838731909027	0.44383184011026877	0.015506547208821502
