scenario	maximum_symptom_onset_time	susceptible_population_proportion	antiviral_coverage_time	antiviral_success_rate	hospital_success_without_antiviral	hospital_success_with_antiviral	hospital_beds_per_person	antiviral_doses_per_person	hospital_stay_duration_min	hospital_stay_duration_max
151	120.0	0.25	15.0	0.5	0.3	0.5	0.001	0.2	2.0	5.0
152	60.0	0.5	15.0	0.5	0.3	0.5	0.001	0.2	2.0	5.0
153	120.0	0.5	15.0	0.5	0.3	0.5	0.001	0.2	2.0	5.0
154	60.0	0.75	15.0	0.5	0.3	0.5	0.001	0.2	2.0	5.0
155	120.0	0.75	15.0	0.5	0.3	0.5	0.001	0.2	2.0	5.0
156	60.0	0.25	10.0	0.8	0.3	0.5	0.001	0.2	2.0	5.0
157	120.0	0.25	10.0	0.8	0.3	0.5	0.001	0.2	2.0	5.0
158	60.0	0.5	10.0	0.8	0.3	0.5	0.001	0.2	2.0	5.0
159	120.0	0.5	10.0	0.8	0.3	0.5	0.001	0.2	2.0	5.0
160	60.0	0.75	10.0	0.8	0.3	0.5	0.001	0.2	2.0	5.0
161	120.0	0.75	10.0	0.8	0.3	0.5	0.001	0.2	2.0	5.0
162	60.0	0.25	15.0	0.8	0.3	0.5	0.001	0.2	2.0	5.0
163	120.0	0.25	15.0	0.8	0.3	0.5	0.001	0.2	2.0	5.0
164	60.0	0.5	15.0	0.8	0.3	0.5	0.001	0.2	2.0	5.0
165	120.0	0.5	15.0	0.8	0.3	0.5	0.001	0.2	2.0	5.0
166	60.0	0.75	15.0	0.8	0.3	0.5	0.001	0.2	2.0	5.0
167	120.0	0.75	15.0	0.8	0.3	0.5	0.001	0.2	2.0	5.0
168	60.0	0.25	10.0	0.5	5.0	0.75	0.001	0.2	2.0	5.0
169	120.0	0.25	10.0	0.5	5.0	0.75	0.001	0.2	2.0	5.0
170	60.0	0.5	10.0	0.5	5.0	0.75	0.001	0.2	2.0	5.0
171	120.0	0.5	10.0	0.5	5.0	0.75	0.001	0.2	2.0	5.0
172	60.0	0.75	10.0	0.5	5.0	0.75	0.001	0.2	2.0	5.0
173	120.0	0.75	10.0	0.5	5.0	0.75	0.001	0.2	2.0	5.0
174	60.0	0.25	15.0	0.5	5.0	0.75	0.001	0.2	2.0	5.0
175	120.0	0.25	15.0	0.5	5.0	0.75	0.001	0.2	2.0	5.0
176	60.0	0.5	15.0	0.5	5.0	0.75	0.001	0.2	2.0	5.0
177	120.0	0.5	15.0	0.5	5.0	0.75	0.001	0.2	2.0	5.0
178	60.0	0.75	15.0	0.5	5.0	0.75	0.001	0.2	2.0	5.0
179	120.0	0.75	15.0	0.5	5.0	0.75	0.001	0.2	2.0	5.0
180	60.0	0.25	10.0	0.8	5.0	0.75	0.001	0.2	2.0	5.0
